timestamp,recording,method,SNR_dB,PRD_pct,RMSE,CC,Se,PPV,F1,TP,FP,FN,FHR_MAE_bpm,n_detected,n_reference
20260625_114019,r01,PHASE_adfecgdb,0.1635,98.1354,14.4377,0.3086,92.8571,99.0066,95.8333,598.0,6.0,46.0,6.8448,604.0,644.0
20260625_114019,r04,PHASE_adfecgdb,-0.0057,100.0659,25.4371,0.0028,88.7658,99.292,93.7343,561.0,4.0,71.0,9.7561,565.0,632.0
20260625_114019,r07,PHASE_adfecgdb,0.0079,99.9093,27.5526,0.0432,94.2584,99.3277,96.7267,591.0,4.0,36.0,5.277,595.0,627.0
20260625_114019,r08,PHASE_adfecgdb,0.0983,98.8749,24.3354,0.2985,97.0814,97.9845,97.5309,632.0,13.0,19.0,2.9492,645.0,651.0
20260625_114019,r10,PHASE_adfecgdb,0.0591,99.3221,28.9911,0.2162,85.2433,92.8205,88.8707,543.0,42.0,94.0,14.2764,585.0,637.0
